@relation train_80p100_38555_convert_holiday_and_daytime

@attribute holiday numeric
@attribute temp numeric
@attribute rain_1h numeric
@attribute snow_1h numeric
@attribute clouds_all numeric
@attribute weather_description {'light snow',mist,'few clouds','sky is clear','overcast clouds','light rain',haze,'scattered clouds','thunderstorm with heavy rain',fog,'Sky is Clear','proximity thunderstorm','light intensity drizzle',drizzle,'broken clouds','heavy snow','moderate rain','heavy intensity rain',snow,'heavy intensity drizzle',thunderstorm,'proximity shower rain','light intensity shower rain','thunderstorm with light drizzle',sleet,smoke,'shower drizzle','thunderstorm with rain','proximity thunderstorm with rain','thunderstorm with light rain','proximity thunderstorm with drizzle','very heavy rain','freezing rain','light shower snow','light rain and snow','thunderstorm with drizzle',SQUALLS}
@attribute day_time {'Friday 20-00','Friday 00-06','Friday 06-10','Friday 10-12','Friday 12-14','Friday 14-17','Friday 17-20','Monday 20-00','Monday 00-06','Monday 06-10','Monday 10-12','Monday 12-14','Monday 14-17','Monday 17-20','Saturday 20-00','Saturday 00-06','Saturday 06-10','Saturday 10-12','Saturday 12-14','Saturday 14-17','Saturday 17-20','Sunday 20-00','Sunday 00-06','Sunday 06-10','Sunday 10-12','Sunday 12-14','Sunday 14-17','Sunday 17-20','Thursday 20-00','Thursday 00-06','Thursday 06-10','Thursday 10-12','Thursday 12-14','Thursday 14-17','Thursday 17-20','Tuesday 20-00','Tuesday 00-06','Tuesday 06-10','Tuesday 10-12','Tuesday 12-14','Tuesday 14-17','Tuesday 17-20','Wednesday 20-00','Wednesday 00-06','Wednesday 06-10','Wednesday 10-12','Wednesday 12-14','Wednesday 14-17','Wednesday 17-20'}
@attribute traffic_volume numeric

@data
1,265.94,0,0,90,'light snow','Friday 20-00',1513
0,293.8,0,0,1,mist,'Friday 20-00',888
0,257.85,0,0,20,'few clouds','Friday 20-00',624
0,277.15,0,0,1,'sky is clear','Friday 20-00',633
0,279.56,0,0,90,'overcast clouds','Friday 20-00',780
0,281.28,0,0,90,'overcast clouds','Friday 20-00',699
0,291.36,0,0,1,'sky is clear','Friday 20-00',890
0,274.02,0,0,90,mist,'Friday 20-00',849
0,275.12,0,0,90,'light rain','Friday 20-00',661
0,293.37,0,0,1,'sky is clear','Friday 20-00',801
0,268.58,0,0,90,haze,'Friday 20-00',753
0,279.54,0,0,32,'scattered clouds','Friday 20-00',741
0,265.76,0,0,1,'sky is clear','Friday 20-00',722
0,268.58,0,0,90,'light snow','Friday 20-00',753
0,285.46,0,0,92,'light rain','Friday 20-00',715
0,292.4,0,0,90,mist,'Friday 20-00',758
0,267.79,0,0,90,'overcast clouds','Friday 20-00',643
0,276.42,0,0,20,haze,'Friday 20-00',708
0,282.78,0,0,90,'overcast clouds','Friday 20-00',1460
1,269.09,0,0,90,'light snow','Friday 20-00',894
0,291.39,0,0,90,'thunderstorm with heavy rain','Friday 20-00',741
0,266.34,0,0,90,mist,'Friday 20-00',604
0,289.42,0,0,40,'light rain','Friday 20-00',808
0,283.07,0,0,1,'light rain','Friday 20-00',652
0,284.15,0,0,1,'light rain','Friday 20-00',660
0,264.62,0,0,64,fog,'Friday 20-00',690
0,294.89,0,0,0,'Sky is Clear','Friday 20-00',831
0,293.89,0,0,40,'proximity thunderstorm','Friday 20-00',648
0,273.44,0,0,90,mist,'Friday 20-00',792
0,270.69,0,0,90,'overcast clouds','Friday 20-00',721
0,282.95,0,0,1,'sky is clear','Friday 20-00',739
0,283.07,0,0,1,'light intensity drizzle','Friday 20-00',652
0,260.72,0,0,90,'light snow','Friday 20-00',660
0,281.372,0,0,12,'few clouds','Friday 20-00',697
0,291.95,0,0,1,'sky is clear','Friday 20-00',743
0,275.27,0,0,90,drizzle,'Friday 20-00',640
0,267.81,0,0,90,'light snow','Friday 20-00',651
0,267.08,0,0,90,'light snow','Friday 20-00',771
0,283.91,0,0,90,'overcast clouds','Friday 20-00',630
0,259.98,0,0,64,'broken clouds','Friday 20-00',792
0,276.76,0,0,40,'scattered clouds','Friday 20-00',731
0,275.27,0,0,90,mist,'Friday 20-00',640
0,293.45,0,0,75,'proximity thunderstorm','Friday 20-00',680
0,273.35,0,0.06,75,mist,'Friday 20-00',628
0,290.21,0,0,90,'overcast clouds','Friday 20-00',747
0,255.61,0,0,1,'sky is clear','Friday 20-00',566
0,269.86,0,0,90,'heavy snow','Friday 20-00',632
0,286.74,0,0,1,'sky is clear','Friday 20-00',776
0,270.06,0,0,1,'sky is clear','Friday 20-00',557
0,263.43,0,0,64,'broken clouds','Friday 20-00',627
0,293.93,0,0,1,'light rain','Friday 20-00',809
0,287.98,0,0,1,'sky is clear','Friday 20-00',739
0,271,0,0,1,'sky is clear','Friday 20-00',645
0,275.24,0,0,75,'heavy snow','Friday 20-00',736
0,291.4,0,0,1,'sky is clear','Friday 20-00',865
0,259.06,0,0,81,'broken clouds','Friday 20-00',682
0,282.2,0,0,1,'sky is clear','Friday 20-00',699
0,294.89,0,0,90,'proximity thunderstorm','Friday 20-00',790
0,271.35,2.29,0,90,'moderate rain','Friday 20-00',528
0,281.22,0,0,40,'light rain','Friday 20-00',683
0,254.57,0,0,1,'sky is clear','Friday 20-00',605
0,294.11,0,0,1,'sky is clear','Friday 20-00',766
0,276.55,0,0,90,'overcast clouds','Friday 20-00',667
0,285.3,0,0,1,'sky is clear','Friday 20-00',662
0,286.22,0,0,1,'sky is clear','Friday 20-00',751
0,290.11,0,0,0,'Sky is Clear','Friday 20-00',894
0,291.73,0,0,75,'broken clouds','Friday 20-00',751
0,268.08,0,0,90,'overcast clouds','Friday 20-00',664
0,271.62,0,0,90,'light snow','Friday 20-00',696
0,290.58,0,0,1,'sky is clear','Friday 20-00',817
0,289.79,0,0,90,'overcast clouds','Friday 20-00',794
0,289.95,0,0,40,'light rain','Friday 20-00',745
0,297.9,0,0,40,'scattered clouds','Friday 20-00',826
0,264.53,14.73,0,64,'heavy intensity rain','Friday 20-00',610
0,286.65,0,0,75,'broken clouds','Friday 20-00',634
0,295.22,0,0,92,'light rain','Friday 20-00',874
0,268.58,0,0,90,mist,'Friday 20-00',753
0,278.85,0,0,90,'overcast clouds','Friday 20-00',611
0,288.56,0,0,1,'sky is clear','Friday 20-00',782
0,295.46,0,0,92,'overcast clouds','Friday 20-00',878
0,289.39,0,0,1,'sky is clear','Friday 20-00',649
0,293.89,0,0,40,'light rain','Friday 20-00',648
0,250.75,0,0,1,'sky is clear','Friday 20-00',630
0,289.67,0,0,1,mist,'Friday 20-00',648
0,294.76,0.25,0,75,'light rain','Friday 20-00',764
0,295.66,0,0,40,'scattered clouds','Friday 20-00',603
0,281.71,0,0,1,'sky is clear','Friday 20-00',689
0,283.7,0,0,90,'overcast clouds','Friday 20-00',2365
