@relation train_80p100_38556

@attribute holiday {None,'New Years Day','Martin Luther King Jr Day','Christmas Day','Memorial Day','Columbus Day','Veterans Day','State Fair','Thanksgiving Day','Washingtons Birthday','Independence Day','Labor Day'}
@attribute temp numeric
@attribute rain_1h numeric
@attribute snow_1h numeric
@attribute clouds_all numeric
@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute day_time {'Thursday 19:00','Monday 12:00','Saturday 16:00','Sunday 23:00','Tuesday 1:00','Wednesday 18:00','Friday 22:00','Saturday 9:00','Saturday 2:00','Wednesday 4:00','Thursday 3:00','Saturday 4:00','Thursday 12:00','Tuesday 4:00','Thursday 20:00','Thursday 9:00','Wednesday 11:00','Sunday 19:00','Monday 22:00','Thursday 11:00','Monday 19:00','Monday 6:00','Sunday 17:00','Thursday 10:00','Tuesday 9:00','Monday 0:00','Friday 7:00','Saturday 10:00','Sunday 2:00','Wednesday 14:00','Wednesday 13:00','Friday 8:00','Saturday 17:00','Wednesday 3:00','Monday 18:00','Monday 2:00','Monday 20:00','Friday 20:00','Thursday 4:00','Thursday 5:00','Tuesday 7:00','Saturday 23:00','Saturday 14:00','Tuesday 14:00','Thursday 14:00','Friday 17:00','Sunday 0:00','Monday 17:00','Sunday 20:00','Wednesday 22:00','Wednesday 12:00','Monday 15:00','Saturday 15:00','Tuesday 10:00','Wednesday 9:00','Wednesday 8:00','Monday 23:00','Monday 9:00','Sunday 14:00','Tuesday 5:00','Saturday 13:00','Tuesday 6:00','Wednesday 1:00','Thursday 1:00','Wednesday 5:00','Monday 4:00','Sunday 5:00','Monday 21:00','Friday 12:00','Friday 13:00','Saturday 7:00','Friday 4:00','Monday 14:00','Thursday 18:00','Tuesday 23:00','Friday 21:00','Wednesday 19:00','Tuesday 8:00','Wednesday 23:00','Saturday 12:00','Sunday 9:00','Saturday 22:00','Friday 5:00','Sunday 21:00','Sunday 13:00','Tuesday 16:00','Wednesday 0:00','Wednesday 10:00','Wednesday 16:00','Wednesday 21:00','Sunday 11:00','Tuesday 12:00','Tuesday 20:00','Sunday 7:00','Sunday 18:00','Saturday 18:00','Saturday 11:00','Saturday 20:00','Monday 3:00','Monday 10:00','Saturday 19:00','Sunday 4:00','Saturday 21:00','Friday 1:00','Tuesday 22:00','Tuesday 3:00','Monday 5:00','Saturday 3:00','Friday 3:00','Friday 0:00','Thursday 15:00','Sunday 8:00','Wednesday 2:00','Friday 6:00','Tuesday 18:00','Wednesday 6:00','Monday 13:00','Sunday 1:00','Tuesday 21:00','Tuesday 13:00','Sunday 22:00','Saturday 0:00','Friday 18:00','Monday 7:00','Friday 9:00','Thursday 7:00','Sunday 10:00','Thursday 23:00','Wednesday 20:00','Saturday 5:00','Monday 11:00','Tuesday 15:00','Thursday 2:00','Friday 19:00','Thursday 13:00','Wednesday 15:00','Tuesday 11:00','Thursday 8:00','Thursday 6:00','Friday 16:00','Tuesday 17:00','Thursday 22:00','Friday 15:00','Sunday 15:00','Sunday 12:00','Saturday 8:00','Tuesday 2:00','Sunday 16:00','Friday 11:00','Thursday 0:00','Friday 2:00','Thursday 17:00','Wednesday 17:00','Saturday 6:00','Monday 1:00','Friday 14:00','Monday 8:00','Wednesday 7:00','Saturday 1:00','Tuesday 0:00','Sunday 6:00','Thursday 16:00','Thursday 21:00','Friday 10:00','Sunday 3:00','Monday 16:00','Friday 23:00','Tuesday 19:00'}
@attribute traffic_volume numeric

@data
None,275.82,0,0,90,'overcast clouds','Thursday 19:00',3335
None,263.65,0,0,90,haze,'Monday 12:00',4462
None,306.65,0,0,40,'scattered clouds','Saturday 16:00',3970
None,291.16,0,0,1,'sky is clear','Sunday 23:00',1028
None,296.86,0,0,40,'scattered clouds','Tuesday 1:00',394
None,300.5,0,0,75,'broken clouds','Wednesday 18:00',4632
None,295.24,0,0,75,'broken clouds','Friday 22:00',2533
None,281.69,0,0,1,'sky is clear','Tuesday 1:00',362
None,289.13,0,0,1,'sky is clear','Saturday 9:00',4477
None,273.94,0,0,90,mist,'Saturday 2:00',650
None,271.69,0,0,40,'scattered clouds','Wednesday 4:00',912
None,285.26,0,0,1,'sky is clear','Thursday 3:00',359
None,265.78,0,0,90,'overcast clouds','Saturday 4:00',361
None,290.368,0,0,92,'moderate rain','Sunday 23:00',995
None,287.58,0,0,1,'sky is clear','Thursday 12:00',5102
None,290.58,0,0,1,'sky is clear','Tuesday 4:00',952
None,295.8,0,0,48,'scattered clouds','Thursday 20:00',3346
None,289.85,0,0,0,'Sky is Clear','Thursday 9:00',5687
None,275.9,0,0,90,mist,'Wednesday 11:00',4241
None,297.37,0,0,0,'Sky is Clear','Sunday 19:00',3510
None,256.72,0,0,40,'light snow','Monday 22:00',1430
None,271.94,0,0,90,'heavy snow','Monday 12:00',4148
None,294.86,2.22,0,90,'proximity thunderstorm','Thursday 11:00',4647
None,285.95,0,0,1,'sky is clear','Monday 19:00',3360
None,290.1,0,0,20,'few clouds','Monday 6:00',5176
None,259.52,0,0,75,'broken clouds','Saturday 4:00',402
None,298.93,0,0,8,'light rain','Sunday 17:00',4252
None,288.35,0,0,90,'overcast clouds','Thursday 10:00',4619
None,282.44,0,0,1,'sky is clear','Tuesday 9:00',5397
None,294.45,0,0,36,'scattered clouds','Thursday 9:00',5116
None,266.22,0,0,1,'sky is clear','Monday 0:00',517
None,252.01,0,0,1,'sky is clear','Friday 7:00',6208
None,294.478,0,0,0,'Sky is Clear','Saturday 10:00',3707
None,280.76,0,0,90,'light intensity drizzle','Sunday 2:00',531
None,298.65,0,0,40,'scattered clouds','Wednesday 14:00',5157
None,271.89,0,0,90,'light snow','Wednesday 13:00',4304
None,293.25,0,0,90,fog,'Friday 8:00',5245
None,296.5,0,0,90,'overcast clouds','Saturday 17:00',4602
None,263.31,0,0,90,'overcast clouds','Wednesday 3:00',336
None,296,0,0,75,'broken clouds','Monday 18:00',4230
None,287.69,0.3,0,1,'light rain','Saturday 4:00',360
None,291.74,0.3,0,1,mist,'Monday 2:00',255
None,287.52,0,0,90,mist,'Monday 20:00',2929
None,287.15,0,0,5,'sky is clear','Friday 20:00',3086
None,290.88,10.6,0,90,'heavy intensity rain','Thursday 19:00',2957
None,275.47,0,0,90,'overcast clouds','Thursday 4:00',817
None,283.88,2.29,0,1,'moderate rain','Thursday 5:00',3036
None,267.38,0,0,1,'sky is clear','Tuesday 4:00',807
None,269.822,0,0,0,'Sky is Clear','Tuesday 7:00',6355
None,276.67,0,0,20,'few clouds','Saturday 23:00',2225
None,261.14,0,0,90,mist,'Monday 2:00',269
None,276.02,0,0,90,fog,'Saturday 16:00',4402
None,292.08,0,0,1,haze,'Saturday 14:00',5291
None,264.81,0,0,90,'overcast clouds','Tuesday 14:00',5234
None,289.76,0,0,1,'sky is clear','Thursday 14:00',5374
None,267.63,0,0,64,'broken clouds','Thursday 3:00',367
None,299.18,0,0,1,'sky is clear','Friday 17:00',5115
None,298.31,0,0,0,'Sky is Clear','Monday 6:00',5773
None,278.42,0,0,90,'overcast clouds','Sunday 19:00',3409
None,292.48,0,0,1,'sky is clear','Sunday 0:00',1532
None,268.29,0,0,1,'sky is clear','Monday 6:00',5331
None,281.72,0,0,90,'proximity thunderstorm','Wednesday 18:00',3533
None,266.77,0,0,64,'broken clouds','Thursday 11:00',4017
None,296.69,0,0,44,'scattered clouds','Monday 17:00',5966
