@relation train_80p100_38556_weather_only

@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute traffic_volume numeric

@data
'overcast clouds',3335
haze,4462
'scattered clouds',3970
'sky is clear',1028
'scattered clouds',394
'broken clouds',4632
'broken clouds',2533
'sky is clear',362
'sky is clear',4477
mist,650
'scattered clouds',912
'sky is clear',359
'overcast clouds',361
'moderate rain',995
'sky is clear',5102
'sky is clear',952
'scattered clouds',3346
'Sky is Clear',5687
mist,4241
'Sky is Clear',3510
'light snow',1430
'heavy snow',4148
'proximity thunderstorm',4647
'sky is clear',3360
'few clouds',5176
'broken clouds',402
'light rain',4252
'overcast clouds',4619
'sky is clear',5397
'scattered clouds',5116
'sky is clear',517
'sky is clear',6208
'Sky is Clear',3707
'light intensity drizzle',531
'scattered clouds',5157
'light snow',4304
fog,5245
'overcast clouds',4602
'overcast clouds',336
'broken clouds',4230
'light rain',360
mist,255
mist,2929
'sky is clear',3086
'heavy intensity rain',2957
'overcast clouds',817
'moderate rain',3036
'sky is clear',807
'Sky is Clear',6355
'few clouds',2225
mist,269
fog,4402
haze,5291
'overcast clouds',5234
'sky is clear',5374
'broken clouds',367
'sky is clear',5115
'Sky is Clear',5773
'overcast clouds',3409
'sky is clear',1532
'sky is clear',5331
'proximity thunderstorm',3533
'broken clouds',4017
'scattered clouds',5966
'scattered clouds',2073
'sky is clear',1545
'scattered clouds',3172
'Sky is Clear',4858
'sky is clear',5622
'scattered clouds',4977
haze,4338
fog,4389
'scattered clouds',4409
'light rain',6087
'sky is clear',5182
'light snow',5493
mist,1022
mist,4933
'sky is clear',4323
'Sky is Clear',5841
'overcast clouds',358
mist,2972
'broken clouds',4990
'sky is clear',3558
haze,4406
mist,4339
'broken clouds',5674
'Sky is Clear',868
'sky is clear',5327
'light snow',5083
'sky is clear',340
'sky is clear',331
'sky is clear',3006
'sky is clear',809
snow,435
'overcast clouds',2100
'light rain',5519
'few clouds',5401
'sky is clear',5053
'sky is clear',1827
mist,5800
'broken clouds',4108
'sky is clear',846
'light intensity drizzle',5017
mist,4383
'broken clouds',4738
'sky is clear',924
'light rain',3779
'Sky is Clear',1116
'sky is clear',2839
'overcast clouds',785
'overcast clouds',2571
'scattered clouds',3922
'scattered clouds',5373
'Sky is Clear',1209
'overcast clouds',2107
drizzle,2631
'moderate rain',392
haze,2637
'sky is clear',3248
'sky is clear',4727
'few clouds',2714
'scattered clouds',2758
'moderate rain',2045
'scattered clouds',5241
'few clouds',5055
'scattered clouds',6432
'sky is clear',1152
'scattered clouds',5170
mist,4465
'sky is clear',655
'sky is clear',3193
'light rain',4665
'sky is clear',6317
'overcast clouds',4486
mist,5388
'sky is clear',2869
'sky is clear',3377
'light snow',4703
'sky is clear',2772
'sky is clear',445
'sky is clear',5070
'sky is clear',1212
'Sky is Clear',4415
'sky is clear',3724
haze,2741
mist,861
'overcast clouds',4434
'Sky is Clear',4642
'broken clouds',2692
'broken clouds',4380
'heavy intensity rain',4735
'moderate rain',5167
mist,24
'sky is clear',3216
'sky is clear',4670
mist,5870
'light rain',312
'sky is clear',4439
'broken clouds',5230
'few clouds',3132
'overcast clouds',308
'few clouds',1730
'sky is clear',3332
'overcast clouds',429
'sky is clear',5380
'sky is clear',388
'sky is clear',3711
'scattered clouds',3223
'light snow',427
'light snow',2632
mist,5130
'broken clouds',4727
'scattered clouds',5180
'light snow',319
mist,1028
'light rain',6653
'light snow',3876
'proximity thunderstorm',409
mist,6104
'few clouds',3306
fog,398
'Sky is Clear',4721
'light snow',1513
'sky is clear',2807
'broken clouds',4179
'overcast clouds',5555
haze,5598
'broken clouds',1733
'sky is clear',4080
'Sky is Clear',4603
'heavy intensity rain',1328
'moderate rain',894
'sky is clear',957
'overcast clouds',4857
fog,1866
'broken clouds',269
'broken clouds',5893
'overcast clouds',1880
'Sky is Clear',4990
'overcast clouds',482
'moderate rain',5259
'broken clouds',4933
'sky is clear',4740
'broken clouds',3509
mist,5902
'heavy snow',4200
'proximity shower rain',4192
'overcast clouds',4456
'overcast clouds',947
drizzle,5422
drizzle,1039
'scattered clouds',1148
'sky is clear',4617
'broken clouds',706
'sky is clear',2031
'scattered clouds',3765
'light rain',4726
'overcast clouds',3095
mist,2350
'light rain',4839
'broken clouds',477
'sky is clear',3626
'sky is clear',1412
'sky is clear',261
'broken clouds',4533
'sky is clear',4999
'scattered clouds',5002
mist,6280
'broken clouds',2451
mist,867
'sky is clear',6440
'overcast clouds',3600
'sky is clear',2370
'sky is clear',4497
'overcast clouds',2461
haze,375
'light rain',1319
'sky is clear',648
'sky is clear',310
'broken clouds',3038
'sky is clear',3504
'overcast clouds',351
mist,4011
'sky is clear',382
'few clouds',534
'broken clouds',2903
'few clouds',1035
'overcast clouds',6741
'light rain',337
'light snow',4477
'sky is clear',1287
'sky is clear',5657
'scattered clouds',1
'light snow',4325
'sky is clear',623
'scattered clouds',3298
mist,4220
'sky is clear',3928
'sky is clear',6077
haze,4863
'light snow',4655
'light rain',945
'scattered clouds',5070
'heavy intensity rain',277
'light rain',4454
thunderstorm,6373
'overcast clouds',3631
'light rain',313
'sky is clear',2493
'overcast clouds',606
'overcast clouds',4324
'light rain',6490
'few clouds',5307
'moderate rain',4864
'light rain',5680
'light snow',4378
'sky is clear',1158
'sky is clear',414
'broken clouds',4392
'sky is clear',341
'Sky is Clear',5423
'broken clouds',4829
'sky is clear',5589
'sky is clear',4952
'sky is clear',1034
'overcast clouds',5463
'light snow',896
drizzle,5760
'scattered clouds',3677
'Sky is Clear',2381
mist,6267
'sky is clear',5703
'light rain',6595
'broken clouds',6104
mist,830
'broken clouds',4776
'overcast clouds',1060
'broken clouds',3170
'scattered clouds',6161
'overcast clouds',4356
'sky is clear',4009
