holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,day_time,traffic_volume,random
None,289.95,0,0,90,overcast clouds,Monday 14:00,4725,28493
None,284.23,0,0,1,sky is clear,Sunday 7:00,1336,19547
None,274.81,0,0,20,few clouds,Tuesday 7:00,7055,1479
None,254.61,0,0,1,sky is clear,Friday 6:00,3875,6497
None,279.55,0,0,1,sky is clear,Tuesday 18:00,4740,9840
None,273.45,0,0,90,fog,Thursday 22:00,3814,4568
None,275.52,0,0,90,drizzle,Wednesday 10:00,4133,32477
None,281.08,0,0,1,sky is clear,Sunday 17:00,4794,23619
None,301.65,0,0,90,proximity thunderstorm,Tuesday 18:00,4525,43108
None,273.167,0,0,0,Sky is Clear,Tuesday 10:00,4395,4738
None,266.25,0,0,59,broken clouds,Thursday 1:00,339,18803
None,290.14,1.78,0,90,mist,Thursday 4:00,1050,27525
None,295.64,0,0,1,sky is clear,Wednesday 21:00,2784,19478
None,281.469,0,0,0,Sky is Clear,Tuesday 8:00,5467,14311
None,287.73,0,0,92,light rain,Friday 2:00,262,39183
None,263.47,0,0,0,sky is clear,Wednesday 2:00,264,45717
None,279.55,0,0,90,mist,Thursday 12:00,5099,1388
None,272.35,0,0,90,light snow,Tuesday 4:00,821,18911
None,289.67,0,0,90,moderate rain,Thursday 20:00,3319,19062
None,282.67,0,0,90,moderate rain,Monday 16:00,6139,1431
None,291.68,0.38,0,90,light rain,Wednesday 23:00,984,35621
None,290.97,1.02,0,90,moderate rain,Monday 21:00,2084,14774
None,296.58,0,0,75,broken clouds,Thursday 10:00,4154,15589
None,301.48,0,0,40,scattered clouds,Friday 17:00,5775,12812
None,297.03,0,0,12,light rain,Thursday 22:00,2158,29052
None,295.98,1,0,40,mist,Tuesday 5:00,2607,29520
None,305.17,0,0,40,scattered clouds,Friday 16:00,6535,25002
None,269.72,0,0,1,sky is clear,Sunday 0:00,1297,22288
None,302.15,0,0,75,broken clouds,Wednesday 17:00,6344,16598
None,286.924,0,0,68,light rain,Thursday 18:00,5021,33404
None,268.79,0,0,90,light snow,Monday 0:00,407,33529
None,264.05,0,0,1,mist,Thursday 22:00,2457,40134
None,292.9,2.86,0,90,moderate rain,Friday 18:00,4755,9353
None,293.88,0,0,1,light rain,Friday 0:00,800,45184
None,268.94,0,0,75,haze,Thursday 22:00,1871,1848
None,263.01,0,0,1,mist,Saturday 0:00,1043,25543
None,299.22,0,0,75,broken clouds,Thursday 10:00,4189,8260
None,264.39,0,0,1,sky is clear,Sunday 1:00,785,35110
None,287.82,0,0,1,sky is clear,Monday 19:00,3221,15472
None,269.98,0,0,90,overcast clouds,Friday 20:00,3382,23333
None,274.3,0,0,90,mist,Monday 18:00,2823,8596
None,297.62,0.25,0,90,moderate rain,Wednesday 23:00,955,1768
None,288.74,0,0,1,sky is clear,Sunday 10:00,4270,21911
None,255.74,0,0,64,broken clouds,Wednesday 13:00,2812,42292
None,289.75,0,0,90,heavy intensity rain,Wednesday 4:00,832,38589
None,292.43,0,0,90,light intensity drizzle,Friday 9:00,5011,32849
None,263.91,0,0,5,sky is clear,Monday 8:00,5602,291
None,283.97,0,0,1,sky is clear,Tuesday 3:00,334,44623
None,261.58,0,0,1,sky is clear,Monday 5:00,2222,35640
None,293.36,0,0,92,overcast clouds,Friday 6:00,5232,29637
None,290.37,0.51,0,90,mist,Wednesday 16:00,6440,7299
None,302.39,0,0,0,Sky is Clear,Monday 17:00,6020,22128
None,268.68,0,0,1,sky is clear,Friday 12:00,4310,6606
None,298.15,0,0,0,Sky is Clear,Tuesday 14:00,5819,34052
None,271.84,0,0,90,overcast clouds,Friday 12:00,2900,36497
None,262.89,0,0,64,broken clouds,Thursday 20:00,3119,12645
None,275.55,0,0,75,broken clouds,Sunday 9:00,4568,40627
