holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
None,288.28,0,0,40,Clouds,5545
None,289.36,0,0,75,Clouds,4516
None,289.58,0,0,90,Clouds,4767
None,290.13,0,0,90,Clouds,5026
None,291.14,0,0,75,Clouds,4918
None,291.72,0,0,1,Clear,5181
None,293.17,0,0,1,Clear,5584
None,293.86,0,0,1,Clear,6015
None,294.14,0,0,20,Clouds,5791
None,293.1,0,0,20,Clouds,4770
None,290.97,0,0,20,Clouds,3539
None,289.38,0,0,1,Clear,2784
None,288.61,0,0,1,Clear,2361
None,287.16,0,0,1,Clear,1529
None,285.45,0,0,1,Clear,963
None,284.63,0,0,1,Clear,506
None,283.47,0,0,1,Clear,321
None,281.18,0,0,1,Clear,273
None,281.09,0,0,1,Clear,367
None,279.53,0,0,1,Clear,814
None,278.62,0,0,1,Clear,2718
None,278.23,0,0,1,Clear,5673
None,278.12,0,0,1,Clear,6511
None,282.48,0,0,1,Clear,5471
None,291.97,0,0,1,Clear,5097
None,293.23,0,0,1,Clear,4887
None,294.31,0,0,1,Clear,5337
None,295.17,0,0,1,Clear,5692
None,295.13,0,0,1,Clear,6137
None,293.66,0,0,20,Clouds,4623
None,290.65,0,0,20,Clouds,3591
None,288.19,0,0,20,Clouds,2898
None,287.1,0,0,1,Clear,2637
None,286.25,0,0,1,Clear,1777
None,285.26,0,0,1,Clear,1015
None,284.55,0,0,1,Clear,598
None,283.47,0,0,1,Clear,369
None,283.17,0,0,1,Clear,312
None,282.04,0,0,1,Clear,367
None,281.69,0,0,1,Clear,835
None,281.32,0,0,1,Clear,2726
None,280.74,0,0,1,Clear,5689
None,280.57,0,0,1,Clear,6990
None,281.86,0,0,1,Clear,5985
None,284.98,0,0,1,Clear,5309
None,289.18,0,0,1,Clear,4603
None,291.55,0,0,1,Clear,4884
None,294.97,0,0,1,Clear,5104
None,296.38,0,0,1,Clear,5178
None,297.32,0,0,1,Clear,5501
None,298.17,0,0,1,Clear,5713
None,298.06,0,0,20,Clouds,6292
None,297.67,0,0,20,Clouds,6057
None,296.36,0,0,40,Clouds,4907
None,293.85,0,0,40,Clouds,3503
None,292.43,0,0,40,Clouds,3037
None,291.77,0,0,75,Clouds,2822
None,291.36,0,0,75,Clouds,1992
None,291.12,0,0,75,Clouds,1166
None,290.63,0,0,75,Clouds,627
None,290.46,0,0,40,Clouds,388
None,289.26,0,0,0,Clear,368
None,283.21,0,0,75,Clouds,2489
None,282.24,0,0,90,Clouds,5537
