holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,traffic_volume
None,275.82,0,0,90,overcast clouds,3335
None,263.65,0,0,90,haze,4462
None,306.65,0,0,40,scattered clouds,3970
None,291.16,0,0,1,sky is clear,1028
None,296.86,0,0,40,scattered clouds,394
None,300.5,0,0,75,broken clouds,4632
None,295.24,0,0,75,broken clouds,2533
None,281.69,0,0,1,sky is clear,362
None,289.13,0,0,1,sky is clear,4477
None,273.94,0,0,90,mist,650
None,271.69,0,0,40,scattered clouds,912
None,285.26,0,0,1,sky is clear,359
None,265.78,0,0,90,overcast clouds,361
None,290.368,0,0,92,moderate rain,995
None,287.58,0,0,1,sky is clear,5102
None,290.58,0,0,1,sky is clear,952
None,295.8,0,0,48,scattered clouds,3346
None,289.85,0,0,0,Sky is Clear,5687
None,275.9,0,0,90,mist,4241
None,297.37,0,0,0,Sky is Clear,3510
None,256.72,0,0,40,light snow,1430
None,271.94,0,0,90,heavy snow,4148
None,294.86,2.22,0,90,proximity thunderstorm,4647
None,285.95,0,0,1,sky is clear,3360
None,290.1,0,0,20,few clouds,5176
None,259.52,0,0,75,broken clouds,402
None,298.93,0,0,8,light rain,4252
None,288.35,0,0,90,overcast clouds,4619
None,282.44,0,0,1,sky is clear,5397
None,294.45,0,0,36,scattered clouds,5116
None,266.22,0,0,1,sky is clear,517
None,252.01,0,0,1,sky is clear,6208
None,294.478,0,0,0,Sky is Clear,3707
None,280.76,0,0,90,light intensity drizzle,531
None,298.65,0,0,40,scattered clouds,5157
None,271.89,0,0,90,light snow,4304
None,293.25,0,0,90,fog,5245
None,296.5,0,0,90,overcast clouds,4602
None,263.31,0,0,90,overcast clouds,336
None,296,0,0,75,broken clouds,4230
None,287.69,0.3,0,1,light rain,360
None,291.74,0.3,0,1,mist,255
None,287.52,0,0,90,mist,2929
None,287.15,0,0,5,sky is clear,3086
None,290.88,10.6,0,90,heavy intensity rain,2957
None,275.47,0,0,90,overcast clouds,817
None,283.88,2.29,0,1,moderate rain,3036
None,267.38,0,0,1,sky is clear,807
None,269.822,0,0,0,Sky is Clear,6355
None,276.67,0,0,20,few clouds,2225
None,261.14,0,0,90,mist,269
None,276.02,0,0,90,fog,4402
None,292.08,0,0,1,haze,5291
None,264.81,0,0,90,overcast clouds,5234
None,289.76,0,0,1,sky is clear,5374
None,267.63,0,0,64,broken clouds,367
None,299.18,0,0,1,sky is clear,5115
None,298.31,0,0,0,Sky is Clear,5773
None,278.42,0,0,90,overcast clouds,3409
None,292.48,0,0,1,sky is clear,1532
