holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,day_time,traffic_volume
0,275.82,0,0,90,overcast clouds,Thursday 19:00,3335
0,263.65,0,0,90,haze,Monday 12:00,4462
0,306.65,0,0,40,scattered clouds,Saturday 16:00,3970
0,291.16,0,0,1,sky is clear,Sunday 23:00,1028
0,296.86,0,0,40,scattered clouds,Tuesday 1:00,394
0,300.5,0,0,75,broken clouds,Wednesday 18:00,4632
0,295.24,0,0,75,broken clouds,Friday 22:00,2533
0,281.69,0,0,1,sky is clear,Tuesday 1:00,362
0,289.13,0,0,1,sky is clear,Saturday 9:00,4477
0,273.94,0,0,90,mist,Saturday 2:00,650
0,271.69,0,0,40,scattered clouds,Wednesday 4:00,912
0,285.26,0,0,1,sky is clear,Thursday 3:00,359
0,265.78,0,0,90,overcast clouds,Saturday 4:00,361
0,290.368,0,0,92,moderate rain,Sunday 23:00,995
0,287.58,0,0,1,sky is clear,Thursday 12:00,5102
0,290.58,0,0,1,sky is clear,Tuesday 4:00,952
0,295.8,0,0,48,scattered clouds,Thursday 20:00,3346
0,289.85,0,0,0,Sky is Clear,Thursday 9:00,5687
0,275.9,0,0,90,mist,Wednesday 11:00,4241
0,297.37,0,0,0,Sky is Clear,Sunday 19:00,3510
0,256.72,0,0,40,light snow,Monday 22:00,1430
0,271.94,0,0,90,heavy snow,Monday 12:00,4148
0,294.86,2.22,0,90,proximity thunderstorm,Thursday 11:00,4647
0,285.95,0,0,1,sky is clear,Monday 19:00,3360
0,290.1,0,0,20,few clouds,Monday 6:00,5176
0,259.52,0,0,75,broken clouds,Saturday 4:00,402
0,298.93,0,0,8,light rain,Sunday 17:00,4252
0,288.35,0,0,90,overcast clouds,Thursday 10:00,4619
0,282.44,0,0,1,sky is clear,Tuesday 9:00,5397
0,294.45,0,0,36,scattered clouds,Thursday 9:00,5116
0,266.22,0,0,1,sky is clear,Monday 0:00,517
0,252.01,0,0,1,sky is clear,Friday 7:00,6208
0,294.478,0,0,0,Sky is Clear,Saturday 10:00,3707
0,280.76,0,0,90,light intensity drizzle,Sunday 2:00,531
0,298.65,0,0,40,scattered clouds,Wednesday 14:00,5157
0,271.89,0,0,90,light snow,Wednesday 13:00,4304
0,293.25,0,0,90,fog,Friday 8:00,5245
0,296.5,0,0,90,overcast clouds,Saturday 17:00,4602
0,263.31,0,0,90,overcast clouds,Wednesday 3:00,336
0,296,0,0,75,broken clouds,Monday 18:00,4230
0,287.69,0.3,0,1,light rain,Saturday 4:00,360
0,291.74,0.3,0,1,mist,Monday 2:00,255
0,287.52,0,0,90,mist,Monday 20:00,2929
0,287.15,0,0,5,sky is clear,Friday 20:00,3086
0,290.88,10.6,0,90,heavy intensity rain,Thursday 19:00,2957
0,275.47,0,0,90,overcast clouds,Thursday 4:00,817
0,283.88,2.29,0,1,moderate rain,Thursday 5:00,3036
0,267.38,0,0,1,sky is clear,Tuesday 4:00,807
0,269.822,0,0,0,Sky is Clear,Tuesday 7:00,6355
0,276.67,0,0,20,few clouds,Saturday 23:00,2225
0,261.14,0,0,90,mist,Monday 2:00,269
0,276.02,0,0,90,fog,Saturday 16:00,4402
0,292.08,0,0,1,haze,Saturday 14:00,5291
0,264.81,0,0,90,overcast clouds,Tuesday 14:00,5234
0,289.76,0,0,1,sky is clear,Thursday 14:00,5374
0,267.63,0,0,64,broken clouds,Thursday 3:00,367
