clouds_all,traffic_volume
90,3335
90,4462
40,3970
1,1028
40,394
75,4632
75,2533
1,362
1,4477
90,650
40,912
1,359
90,361
92,995
1,5102
1,952
48,3346
0,5687
90,4241
0,3510
40,1430
90,4148
90,4647
1,3360
20,5176
75,402
8,4252
90,4619
1,5397
36,5116
1,517
1,6208
0,3707
90,531
40,5157
90,4304
90,5245
90,4602
90,336
75,4230
1,360
1,255
90,2929
5,3086
90,2957
90,817
1,3036
1,807
0,6355
20,2225
90,269
90,4402
1,5291
90,5234
1,5374
64,367
1,5115
0,5773
90,3409
1,1532
1,5331
90,3533
64,4017
44,5966
40,2073
1,1545
40,3172
0,4858
1,5622
40,4977
90,4338
40,4389
40,4409
90,6087
1,5182
75,5493
1,1022
1,4933
1,4323
0,5841
90,358
90,2972
75,4990
1,3558
90,4406
90,4339
75,5674
0,868
5,5327
90,5083
1,340
1,331
1,3006
1,809
90,435
90,2100
90,5519
20,5401
5,5053
1,1827
90,5800
75,4108
1,846
90,5017
90,4383
64,4738
1,924
92,3779
0,1116
1,2839
90,785
90,2571
32,3922
48,5373
0,1209
90,2107
90,2631
56,392
90,2637
1,3248
1,4727
20,2714
40,2758
90,2045
40,5241
24,5055
40,6432
1,1152
40,5170
90,4465
8,655
1,3193
75,4665
5,6317
90,4486
90,5388
1,2869
8,3377
64,4703
1,2772
1,445
1,5070
1,1212
0,4415
5,3724
90,2741
1,861
90,4434
0,4642
75,2692
75,4380
90,4735
90,5167
75,24
1,3216
1,4670
40,5870
90,312
1,4439
75,5230
20,3132
90,308
20,1730
5,3332
90,429
5,5380
8,388
1,3711
40,3223
90,427
90,2632
90,5130
75,4727
40,5180
1,319
90,1028
1,6653
90,3876
90,409
75,6104
20,3306
20,398
0,4721
90,1513
1,2807
75,4179
90,5555
40,5598
75,1733
1,4080
0,4603
90,1328
90,894
1,957
90,4857
5,1866
75,269
75,5893
90,1880
0,4990
90,482
90,5259
75,4933
1,4740
75,3509
1,5902
90,4200
90,4192
90,4456
90,947
90,5422
90,1039
40,1148
5,4617
64,706
5,2031
36,3765
90,4726
90,3095
90,2350
90,4839
64,477
1,3626
1,1412
1,261
75,4533
5,4999
40,5002
20,6280
75,2451
90,867
5,6440
88,3600
1,2370
1,4497
90,2461
90,375
1,1319
1,648
1,310
75,3038
5,3504
90,351
1,4011
1,382
20,534
75,2903
20,1035
90,6741
90,337
1,4477
1,1287
1,5657
40,1
90,4325
1,623
40,3298
90,4220
1,3928
1,6077
40,4863
90,4655
75,945
40,5070
90,277
90,4454
75,6373
92,3631
36,313
1,2493
92,606
92,4324
40,6490
20,5307
90,4864
1,5680
90,4378
1,1158
1,414
75,4392
1,341
0,5423
75,4829
5,5589
1,4952
1,1034
90,5463
90,896
90,5760
40,3677
0,2381
90,6267
1,5703
90,6595
75,6104
90,830
76,4776
90,1060
75,3170
40,6161
88,4356
1,4009
90,3465
90,5570
90,4930
75,2624
75,4555
75,4643
1,5906
90,1228
48,2910
90,5739
1,1771
75,4690
1,819
1,4947
56,2689
1,820
40,5487
90,1311
40,5714
75,1888
1,4699
90,3655
1,1758
90,2611
90,4936
90,4493
32,2574
40,417
1,691
1,249
90,2499
90,5924
75,5200
90,4273
1,274
1,6017
75,6366
90,3293
90,485
40,678
90,3572
40,3134
24,6322
90,4989
75,4743
20,4276
0,5679
90,6195
90,4192
1,4955
0,4434
1,6563
90,851
40,5941
40,4650
75,880
40,4695
90,4753
20,5029
92,1011
92,530
1,3318
1,570
40,638
90,292
90,5155
1,2935
48,344
8,583
75,5871
90,912
5,5101
0,2787
48,2153
90,292
1,3567
90,6252
24,5391
56,4327
90,367
1,1690
90,2425
90,6488
1,3626
75,316
40,4416
88,1843
1,2504
90,2874
1,807
0,5308
90,5026
1,4815
40,3843
1,262
1,410
75,4926
1,1167
75,3197
90,2989
1,2830
40,4976
0,3246
91,4178
90,5523
90,5674
90,5185
75,225
90,3643
1,372
1,4587
40,4652
90,292
90,4982
90,365
1,888
90,1284
90,4663
90,1287
64,4941
1,383
1,5691
90,975
1,425
1,611
12,3238
90,355
1,515
64,4173
20,5474
90,2449
40,3530
90,5692
90,3937
75,4699
90,4862
40,5838
90,4205
90,4902
90,3683
5,5886
75,4327
90,641
48,865
5,4637
90,822
90,1016
20,4631
1,512
90,4976
75,954
1,2982
90,5222
75,3951
90,626
64,1834
90,4279
40,416
90,2730
90,2863
1,826
90,335
90,5173
90,551
75,6196
90,2174
90,1111
90,3136
90,5608
90,2639
1,966
90,4446
20,374
0,5325
0,6067
90,5017
1,3659
90,1127
90,5086
64,4564
92,340
90,5641
90,6060
75,4822
90,709
20,6007
1,3759
75,6518
90,667
1,335
40,376
75,6566
75,2457
1,4383
75,1469
90,657
90,2914
20,4651
40,947
24,358
40,2609
92,5438
90,5681
90,5239
1,5734
1,3370
75,4333
1,2384
40,593
1,2935
1,1328
1,2716
90,5915
5,1725
1,4583
75,4610
90,3773
64,5592
90,353
88,3551
64,2676
90,980
90,1916
90,4828
90,6710
90,3299
90,591
64,4098
90,4474
90,4386
1,5290
0,5213
90,5185
75,5412
64,1103
75,483
1,5356
1,330
64,4199
90,5806
92,850
1,1488
1,594
20,5715
90,6017
75,331
90,3745
68,5371
92,4888
90,5122
75,4896
90,6000
1,4499
90,1472
5,4305
90,767
64,4795
5,6548
90,2732
90,2653
90,325
1,2890
1,5370
64,4904
90,4637
40,2798
1,6410
40,2058
75,305
40,735
1,759
90,309
1,3075
90,876
1,355
1,949
5,3225
1,3972
90,2585
75,4720
90,2959
75,2003
90,5236
1,526
75,342
24,591
90,306
90,2176
20,313
90,3864
20,5433
92,4599
1,798
90,3130
20,5391
75,1693
90,3222
90,4137
90,4948
90,658
90,2573
75,5370
75,5996
40,5146
90,1461
1,6456
75,6160
1,2940
1,1307
1,2963
90,3330
90,378
90,5554
90,955
1,4632
20,4399
90,3410
12,5387
75,2665
64,729
90,5900
1,4394
90,5783
90,5418
75,443
90,2723
75,5138
20,4977
5,3109
20,2373
90,4621
1,922
90,4613
90,2933
88,674
75,4695
40,648
40,4971
90,346
20,3953
90,4787
90,5668
1,1962
40,355
0,4183
77,326
90,245
90,5874
1,3208
1,3054
1,4675
48,3575
40,1482
90,5455
90,2029
0,859
75,5017
1,3919
1,850
1,4415
1,2844
90,4621
90,3400
90,6068
1,821
1,469
92,444
90,3469
90,4349
90,4865
1,474
75,5159
1,404
90,5681
90,2980
90,1821
40,348
1,2915
1,388
92,6866
1,2673
90,2779
75,4491
1,2854
90,366
90,2352
1,4759
90,847
90,4119
90,3215
1,1713
1,2676
40,4940
90,6299
40,950
90,5266
1,5864
90,6414
20,6255
1,580
90,2336
5,2775
5,3141
0,2917
90,730
64,4665
1,5147
1,2994
20,2264
75,2163
20,4238
90,386
40,196
1,410
1,5429
90,4722
90,5211
90,3900
36,814
75,333
90,743
36,2913
40,5158
40,792
90,825
1,957
1,480
5,4991
90,1656
1,3601
32,4413
40,4557
90,2334
90,2227
64,3556
75,4253
20,5636
1,546
1,3685
40,5442
1,2914
90,6445
5,6127
40,925
90,3710
1,1753
1,490
90,4234
75,5145
1,4257
40,4621
90,350
75,5133
20,5198
68,2709
90,6600
90,2211
1,514
90,1225
1,5876
90,4306
90,5785
75,4369
1,904
90,301
90,4564
75,4564
90,2717
1,312
5,784
1,867
75,5965
1,4961
75,2877
1,647
1,1045
90,613
87,6274
1,499
90,2900
75,6960
90,4817
0,966
90,5050
90,372
1,1107
0,2845
1,3775
1,352
1,3602
75,5953
1,6058
8,314
75,278
90,5587
1,5314
68,1711
90,2556
90,4764
90,2789
1,3271
1,550
75,2696
90,1054
1,439
5,4829
90,5567
56,2700
90,5412
1,979
90,4037
11,417
40,5296
90,249
0,3137
75,350
12,2921
88,6643
90,307
90,3172
90,644
75,4048
75,5538
40,2540
40,2716
1,4991
0,534
90,3933
90,5377
1,851
90,600
40,5531
90,5916
90,682
1,5450
90,4699
5,2836
90,6516
90,2651
75,4215
90,5443
75,1642
75,2821
1,2372
64,371
90,2974
20,4239
0,6408
1,5793
40,2450
8,5626
88,6530
90,250
90,4473
90,431
90,3594
90,3024
1,532
75,6426
40,2780
90,364
1,3287
75,3099
1,1272
1,313
1,3022
75,2650
40,3475
1,337
1,245
90,4739
1,5326
75,6284
1,635
1,4590
90,944
0,6146
36,1293
1,3897
90,4961
1,2694
90,4567
90,2029
40,4749
75,5001
1,5224
1,4402
90,2407
90,4827
75,4969
1,2610
76,1236
20,4414
0,3360
90,706
90,4200
90,1356
90,3935
92,6346
90,5049
64,3457
90,358
40,4407
75,450
