holiday,traffic_volume
None,3335
None,4462
None,3970
None,1028
None,394
None,4632
None,2533
None,362
None,4477
None,650
None,912
None,359
None,361
None,995
None,5102
None,952
None,3346
None,5687
None,4241
None,3510
None,1430
None,4148
None,4647
None,3360
None,5176
None,402
None,4252
None,4619
None,5397
None,5116
None,517
None,6208
None,3707
None,531
None,5157
None,4304
None,5245
None,4602
None,336
None,4230
None,360
None,255
None,2929
None,3086
None,2957
None,817
None,3036
None,807
None,6355
None,2225
None,269
None,4402
None,5291
None,5234
None,5374
None,367
None,5115
None,5773
None,3409
None,1532
None,5331
None,3533
None,4017
None,5966
None,2073
None,1545
None,3172
None,4858
None,5622
None,4977
None,4338
None,4389
None,4409
None,6087
None,5182
None,5493
None,1022
None,4933
None,4323
None,5841
None,358
None,2972
None,4990
None,3558
None,4406
None,4339
None,5674
None,868
None,5327
None,5083
None,340
None,331
None,3006
None,809
None,435
None,2100
None,5519
None,5401
None,5053
None,1827
None,5800
None,4108
None,846
None,5017
None,4383
None,4738
None,924
None,3779
None,1116
None,2839
None,785
None,2571
None,3922
None,5373
None,1209
None,2107
None,2631
None,392
None,2637
None,3248
None,4727
None,2714
None,2758
None,2045
None,5241
None,5055
None,6432
None,1152
None,5170
None,4465
None,655
None,3193
None,4665
None,6317
None,4486
None,5388
None,2869
None,3377
None,4703
None,2772
None,445
None,5070
None,1212
None,4415
None,3724
None,2741
None,861
None,4434
None,4642
None,2692
None,4380
None,4735
None,5167
None,24
None,3216
None,4670
None,5870
None,312
None,4439
None,5230
None,3132
None,308
None,1730
None,3332
None,429
None,5380
None,388
None,3711
None,3223
None,427
None,2632
None,5130
None,4727
None,5180
None,319
None,1028
None,6653
None,3876
None,409
None,6104
None,3306
None,398
None,4721
New Years Day,1513
None,2807
None,4179
None,5555
None,5598
None,1733
None,4080
None,4603
None,1328
None,894
None,957
None,4857
None,1866
None,269
None,5893
None,1880
None,4990
None,482
None,5259
None,4933
None,4740
None,3509
None,5902
None,4200
None,4192
None,4456
None,947
None,5422
None,1039
None,1148
None,4617
None,706
None,2031
None,3765
None,4726
None,3095
None,2350
None,4839
None,477
None,3626
None,1412
None,261
None,4533
None,4999
None,5002
None,6280
None,2451
None,867
None,6440
None,3600
None,2370
None,4497
None,2461
None,375
None,1319
None,648
None,310
None,3038
None,3504
None,351
None,4011
None,382
None,534
None,2903
None,1035
None,6741
None,337
None,4477
None,1287
None,5657
None,1
None,4325
None,623
None,3298
None,4220
None,3928
None,6077
None,4863
None,4655
None,945
None,5070
None,277
None,4454
None,6373
None,3631
None,313
None,2493
None,606
None,4324
None,6490
None,5307
None,4864
None,5680
None,4378
None,1158
None,414
None,4392
None,341
None,5423
None,4829
None,5589
None,4952
None,1034
None,5463
None,896
None,5760
None,3677
None,2381
None,6267
None,5703
None,6595
None,6104
None,830
None,4776
None,1060
None,3170
None,6161
None,4356
None,4009
None,3465
None,5570
None,4930
None,2624
None,4555
None,4643
None,5906
None,1228
None,2910
None,5739
None,1771
None,4690
None,819
None,4947
None,2689
None,820
None,5487
None,1311
None,5714
None,1888
None,4699
None,3655
None,1758
None,2611
None,4936
None,4493
None,2574
None,417
None,691
None,249
None,2499
None,5924
None,5200
None,4273
None,274
None,6017
None,6366
None,3293
None,485
None,678
None,3572
None,3134
None,6322
None,4989
None,4743
None,4276
None,5679
None,6195
None,4192
None,4955
None,4434
None,6563
None,851
None,5941
None,4650
None,880
None,4695
None,4753
None,5029
None,1011
None,530
None,3318
None,570
None,638
None,292
None,5155
None,2935
None,344
None,583
None,5871
None,912
None,5101
None,2787
None,2153
None,292
None,3567
None,6252
None,5391
None,4327
None,367
None,1690
None,2425
None,6488
None,3626
None,316
None,4416
None,1843
None,2504
None,2874
None,807
None,5308
None,5026
None,4815
None,3843
None,262
None,410
None,4926
None,1167
None,3197
None,2989
None,2830
None,4976
None,3246
None,4178
None,5523
None,5674
None,5185
None,225
None,3643
None,372
None,4587
None,4652
None,292
None,4982
None,365
None,888
None,1284
None,4663
None,1287
None,4941
None,383
None,5691
None,975
None,425
None,611
None,3238
None,355
None,515
None,4173
None,5474
None,2449
None,3530
None,5692
None,3937
None,4699
None,4862
None,5838
None,4205
None,4902
None,3683
None,5886
None,4327
None,641
None,865
None,4637
None,822
None,1016
None,4631
None,512
None,4976
None,954
None,2982
None,5222
None,3951
None,626
None,1834
None,4279
None,416
None,2730
None,2863
None,826
None,335
None,5173
None,551
None,6196
None,2174
None,1111
None,3136
None,5608
None,2639
None,966
None,4446
None,374
None,5325
None,6067
None,5017
None,3659
None,1127
None,5086
None,4564
None,340
None,5641
None,6060
None,4822
None,709
None,6007
None,3759
None,6518
None,667
None,335
None,376
None,6566
None,2457
None,4383
None,1469
None,657
None,2914
None,4651
None,947
None,358
None,2609
None,5438
None,5681
None,5239
None,5734
None,3370
None,4333
None,2384
None,593
None,2935
None,1328
None,2716
None,5915
None,1725
None,4583
None,4610
None,3773
None,5592
None,353
None,3551
None,2676
None,980
None,1916
None,4828
None,6710
None,3299
None,591
None,4098
None,4474
None,4386
None,5290
None,5213
None,5185
None,5412
None,1103
None,483
None,5356
None,330
None,4199
None,5806
None,850
None,1488
None,594
None,5715
None,6017
None,331
None,3745
None,5371
None,4888
None,5122
None,4896
None,6000
None,4499
None,1472
None,4305
None,767
None,4795
None,6548
None,2732
None,2653
None,325
None,2890
None,5370
None,4904
None,4637
None,2798
None,6410
None,2058
None,305
None,735
None,759
None,309
None,3075
None,876
None,355
None,949
None,3225
None,3972
None,2585
None,4720
None,2959
None,2003
None,5236
None,526
None,342
None,591
None,306
None,2176
None,313
None,3864
None,5433
None,4599
None,798
None,3130
None,5391
None,1693
None,3222
None,4137
None,4948
None,658
None,2573
None,5370
None,5996
None,5146
None,1461
None,6456
None,6160
None,2940
None,1307
None,2963
None,3330
None,378
None,5554
None,955
None,4632
None,4399
None,3410
None,5387
None,2665
None,729
None,5900
None,4394
None,5783
None,5418
None,443
None,2723
None,5138
None,4977
None,3109
None,2373
None,4621
None,922
None,4613
None,2933
None,674
None,4695
None,648
None,4971
None,346
None,3953
None,4787
None,5668
None,1962
None,355
None,4183
None,326
None,245
None,5874
None,3208
None,3054
None,4675
None,3575
None,1482
None,5455
None,2029
None,859
None,5017
None,3919
None,850
None,4415
None,2844
None,4621
None,3400
None,6068
None,821
None,469
None,444
None,3469
None,4349
None,4865
None,474
None,5159
None,404
None,5681
None,2980
None,1821
None,348
None,2915
None,388
None,6866
None,2673
None,2779
None,4491
None,2854
None,366
None,2352
None,4759
None,847
None,4119
None,3215
None,1713
None,2676
None,4940
None,6299
None,950
None,5266
None,5864
None,6414
None,6255
None,580
None,2336
None,2775
None,3141
None,2917
None,730
None,4665
None,5147
None,2994
None,2264
None,2163
None,4238
None,386
None,196
None,410
None,5429
None,4722
None,5211
None,3900
None,814
None,333
None,743
None,2913
None,5158
None,792
None,825
None,957
None,480
None,4991
None,1656
None,3601
None,4413
None,4557
None,2334
None,2227
None,3556
None,4253
None,5636
None,546
None,3685
None,5442
None,2914
None,6445
None,6127
None,925
None,3710
None,1753
None,490
None,4234
None,5145
None,4257
None,4621
None,350
None,5133
None,5198
None,2709
None,6600
None,2211
None,514
None,1225
None,5876
None,4306
None,5785
None,4369
None,904
None,301
None,4564
None,4564
None,2717
None,312
None,784
None,867
None,5965
None,4961
None,2877
None,647
None,1045
None,613
None,6274
None,499
None,2900
None,6960
None,4817
None,966
None,5050
None,372
None,1107
None,2845
None,3775
None,352
None,3602
None,5953
None,6058
None,314
None,278
None,5587
None,5314
None,1711
None,2556
None,4764
None,2789
None,3271
None,550
None,2696
None,1054
None,439
None,4829
None,5567
None,2700
None,5412
None,979
None,4037
None,417
None,5296
None,249
None,3137
None,350
None,2921
None,6643
None,307
None,3172
None,644
None,4048
None,5538
None,2540
None,2716
None,4991
None,534
None,3933
None,5377
None,851
Martin Luther King Jr Day,600
None,5531
None,5916
None,682
None,5450
None,4699
None,2836
None,6516
None,2651
None,4215
None,5443
None,1642
None,2821
None,2372
None,371
None,2974
None,4239
None,6408
None,5793
None,2450
None,5626
None,6530
None,250
None,4473
None,431
None,3594
None,3024
None,532
None,6426
None,2780
None,364
None,3287
None,3099
None,1272
None,313
None,3022
None,2650
None,3475
None,337
None,245
None,4739
None,5326
None,6284
None,635
None,4590
None,944
None,6146
None,1293
None,3897
None,4961
None,2694
None,4567
None,2029
None,4749
None,5001
None,5224
None,4402
None,2407
None,4827
None,4969
None,2610
None,1236
None,4414
None,3360
None,706
None,4200
None,1356
None,3935
None,6346
None,5049
None,3457
None,358
None,4407
None,450
None,889
None,2579
None,4010
None,2763
None,1930
None,4317
None,5703
None,5267
None,3096
None,1511
None,5153
None,1513
None,5952
None,5856
None,4753
None,5587
None,1092
None,2847
None,4873
None,3108
None,2578
None,4924
None,4823
None,3781
None,2010
None,345
None,390
None,4766
None,2677
None,1350
None,3700
None,2906
None,2999
None,972
None,6597
None,4254
None,300
None,3937
None,4725
None,4637
None,4853
None,2139
None,2300
None,2495
None,4445
None,5230
None,5588
None,3688
None,3231
None,1513
None,1183
None,6156
None,814
None,2656
None,3022
None,3199
None,1190
None,5368
None,722
None,1040
None,1752
None,4910
None,3319
None,333
None,4893
None,5144
None,4256
None,5454
None,5971
None,458
None,709
None,1695
None,4121
None,342
None,5104
None,5865
None,877
None,4518
None,4986
None,5144
None,2983
None,2924
None,3169
None,6083
None,4882
None,205
None,4926
None,5139
None,5041
None,1972
None,1233
None,3293
None,267
None,674
None,719
None,1167
None,5881
None,336
None,5565
None,4459
None,4159
None,356
None,5036
None,2990
None,6182
None,4848
None,3661
None,4925
None,4219
None,660
None,773
None,6245
None,4039
None,2614
None,2925
None,5320
None,5045
None,2190
None,6354
None,3865
None,4298
None,4675
None,5189
None,4748
None,906
None,3831
None,3154
None,933
None,6494
None,4147
None,3248
None,5089
None,4779
None,5610
None,2640
None,6381
None,4752
None,5147
None,4081
None,3690
None,241
None,5947
None,5619
None,2704
None,6413
None,2627
None,3793
None,4718
None,2864
None,2322
None,1318
None,5619
None,556
None,4608
None,3025
None,321
None,2306
None,1523
None,259
None,2142
None,365
None,1253
None,4490
None,847
None,4928
None,1789
None,5478
None,399
None,4499
None,3540
None,5263
None,3514
None,327
None,687
None,900
None,658
None,5428
None,3301
None,4652
None,5644
None,3782
None,4894
None,261
None,647
None,6228
None,1660
None,352
None,5426
None,889
None,4289
None,4571
None,3311
None,258
None,1001
None,245
None,4957
None,481
None,888
None,6188
None,289
None,2884
None,1911
None,775
None,4252
None,4497
None,2452
None,1106
None,2910
None,5188
None,5868
None,4718
None,2338
None,831
None,367
None,3843
None,4313
None,4389
None,6122
None,6479
None,2588
None,4933
None,797
None,3761
None,5033
None,4936
None,1920
None,3516
None,5146
None,5853
None,904
None,2922
None,551
None,721
None,869
None,340
None,5773
None,2131
None,397
None,4834
None,760
None,5285
None,330
None,1357
None,4819
None,5014
None,1209
None,632
None,4125
None,2894
None,2566
None,4229
None,5385
None,5835
None,3746
None,278
None,351
None,628
None,448
None,6478
None,358
None,5079
None,929
None,3302
None,5652
None,1922
None,4755
None,923
None,4663
None,5555
None,5558
None,3146
None,2967
None,870
None,4648
None,439
None,598
None,1042
None,759
None,716
None,2778
None,2659
None,359
None,5049
None,4426
None,3576
None,3614
None,2885
None,2795
None,1580
None,919
None,5439
None,3043
None,430
None,5920
None,4760
None,1802
None,3503
None,4442
None,5385
None,3295
None,3658
None,3384
None,4481
None,5787
None,432
None,4463
None,4779
None,4122
None,2405
None,5814
None,2759
None,6700
None,3221
None,631
None,1476
None,2996
None,2531
None,3876
None,1168
None,353
None,5948
None,2539
None,336
None,2010
None,3512
None,3452
None,378
None,5205
None,5446
None,2449
None,1173
None,4534
None,4761
None,355
None,5729
None,2003
None,3181
None,4073
None,3149
None,3604
None,809
None,1155
None,4679
None,2721
None,4782
None,1265
None,5348
None,2966
None,3467
None,332
None,1311
None,832
None,6587
None,4681
None,6561
None,4229
None,4407
None,5157
None,1290
None,1746
None,1471
None,5062
None,6278
None,5692
None,5316
None,365
None,4802
None,304
None,5253
None,493
None,451
None,3268
None,467
None,3702
None,3111
None,755
None,561
None,334
None,3144
None,5343
None,6182
None,5019
None,321
None,341
None,1231
None,3711
None,4375
None,863
None,4230
None,5788
None,3015
None,3464
None,5328
None,2885
None,4702
None,1933
None,5244
None,6703
None,355
None,4877
None,882
None,312
None,6591
None,3471
None,4368
None,4257
None,2823
None,394
None,440
None,2699
None,2559
None,588
None,6112
None,1881
None,5606
None,2783
None,3553
None,4420
None,2908
None,4443
None,4683
None,6063
None,3580
None,2783
None,2937
None,787
None,304
None,3089
None,252
None,5589
None,4332
None,5899
None,1255
None,732
None,4384
None,487
None,5078
None,3201
None,1086
None,3843
None,3401
None,3735
None,5875
None,2843
None,2620
None,4961
None,2886
None,6559
None,3190
None,2389
None,5674
None,743
