@relation train_80p100_38556_temp_only

@attribute temp numeric
@attribute traffic_volume numeric

@data
275.82,3335
263.65,4462
306.65,3970
291.16,1028
296.86,394
300.5,4632
295.24,2533
281.69,362
289.13,4477
273.94,650
271.69,912
285.26,359
265.78,361
290.368,995
287.58,5102
290.58,952
295.8,3346
289.85,5687
275.9,4241
297.37,3510
256.72,1430
271.94,4148
294.86,4647
285.95,3360
290.1,5176
259.52,402
298.93,4252
288.35,4619
282.44,5397
294.45,5116
266.22,517
252.01,6208
294.478,3707
280.76,531
298.65,5157
271.89,4304
293.25,5245
296.5,4602
263.31,336
296,4230
287.69,360
291.74,255
287.52,2929
287.15,3086
290.88,2957
275.47,817
283.88,3036
267.38,807
269.822,6355
276.67,2225
261.14,269
276.02,4402
292.08,5291
264.81,5234
289.76,5374
267.63,367
299.18,5115
298.31,5773
278.42,3409
292.48,1532
268.29,5331
281.72,3533
266.77,4017
296.69,5966
258.95,2073
260.01,1545
302.72,3172
299.8,4858
274.15,5622
287.66,4977
291.94,4338
285.64,4389
288.58,4409
283.22,6087
290.01,5182
268.02,5493
290.94,1022
268.81,4933
289.28,4323
286.21,5841
289.55,358
271.65,2972
274.22,4990
298.77,3558
271.08,4406
270.59,4339
252.01,5674
289.9,868
267.95,5327
276.02,5083
270.54,340
266.19,331
281.27,3006
256.51,809
264.22,435
274.44,2100
275.91,5519
280.15,5401
301.75,5053
257.81,1827
287.42,5800
294.71,4108
289.56,846
279.36,5017
287.19,4383
257.34,4738
281.4,924
286.548,3779
285.14,1116
296.71,2839
263.86,785
272.37,2571
299.77,3922
293.69,5373
295.78,1209
297.27,2107
279.95,2631
294.12,392
266.55,2637
284.26,3248
290.85,4727
283.33,2714
291.13,2758
278.49,2045
303.21,5241
304.45,5055
300.83,6432
293.69,1152
279.61,5170
282.32,4465
289.56,655
267.84,3193
294.51,4665
258.46,6317
276.03,4486
283.74,5388
283.92,2869
286.975,3377
270.73,4703
288.76,2772
260.29,445
301.27,5070
286.58,1212
294,4415
269.22,3724
271.61,2741
291.65,861
274.41,4434
281.195,4642
294.23,2692
269.78,4380
297.06,4735
274.33,5167
297.1,24
275.93,3216
274.72,4670
278.09,5870
275.76,312
296.9,4439
293.65,5230
261.62,3132
266.9,308
274.24,1730
273.79,3332
274.79,429
294.88,5380
276.7,388
282.02,3711
259.15,3223
267.06,427
271.36,2632
276.95,5130
294.97,4727
295.56,5180
271.36,319
287.52,1028
292.24,6653
271.53,3876
286.71,409
276.68,6104
296.47,3306
275.63,398
295.89,4721
265.94,1513
285.1,2807
277.58,4179
265.81,5555
286.59,5598
283.15,1733
250.8,4080
290.367,4603
285.75,1328
287.48,894
273.22,957
260.21,4857
289.14,1866
269.37,269
282.18,5893
267.01,1880
299.8,4990
269.89,482
291.89,5259
279.24,4933
279.55,4740
269.02,3509
284.24,5902
272.54,4200
293.42,4192
300.18,4456
282.45,947
277.66,5422
280.72,1039
249.45,1148
299.88,4617
267.9,706
253.53,2031
301.66,3765
296.01,4726
287.01,3095
276.55,2350
272.68,4839
293.121,477
296.55,3626
293.29,1412
268.55,261
302.88,4533
294.86,4999
287.48,5002
290.93,6280
294.34,2451
288.18,867
275.77,6440
300.23,3600
258.82,2370
274.59,4497
271.15,2461
271.95,375
271.96,1319
290.44,648
279.08,310
276.61,3038
246.68,3504
266.66,351
287.28,4011
286.76,382
264.33,534
291.03,2903
282.64,1035
296.36,6741
284.65,337
256.35,4477
292.82,1287
297.8,5657
294.63,1
274.08,4325
292.36,623
297.92,3298
270.28,4220
296.85,3928
301.74,6077
261.59,4863
278.35,4655
284.79,945
270.31,5070
290.02,277
290.01,4454
303.35,6373
287.01,3631
289.15,313
274.62,2493
285.01,606
287.02,4324
299.48,6490
299.95,5307
291.35,4864
295.86,5680
265.93,4378
292.77,1158
288.55,414
278.62,4392
291.68,341
297.61,5423
